word,entropy
basil,4.927521
marsh,4.927079
aloft,4.926641
setup,4.926057
chute,4.925787
coupe,4.924991
daily,4.924070
baton,4.923688
suave,4.922307
mange,4.921482
model,4.920663
flirt,4.920168
fried,4.919598
track,4.918854
adept,4.917918
scaly,4.917251
deity,4.916760
truly,4.916077
tonic,4.915773
acrid,4.915216
uncle,4.914237
align,4.911672
tramp,4.911393
flame,4.909516
scald,4.908793
lemur,4.907741
corny,4.907107
arena,4.907088
curio,4.907034
sonic,4.907011
braid,4.906592
scrap,4.906106
token,4.905766
upset,4.905000
lemon,4.903975
depot,4.903866
berth,4.903520
sneak,4.903241
draft,4.902570
scion,4.901977
daisy,4.901801
minor,4.900737
twice,4.900376
sinew,4.900274
cower,4.900006
chain,4.898979
navel,4.898776
grand,4.898214
claim,4.898013
plaid,4.896980
broad,4.896030
lover,4.895146
begat,4.894557
storm,4.894280
abide,4.893573
brave,4.893483
flute,4.892997
nasty,4.892383
latch,4.890983
title,4.890589
mural,4.890051
valor,4.889384
there,4.889170
rapid,4.887023
tango,4.886163
spurt,4.886015
mayor,4.885260
antic,4.884227
spray,4.884193
audit,4.884058
rhino,4.883070
sadly,4.882337
inept,4.881242
croak,4.880669
lodge,4.879421
adult,4.879186
crisp,4.878566
usage,4.878268
mason,4.878243
stoic,4.878143
oaken,4.877583
abled,4.877487
value,4.876720
brash,4.876681
soapy,4.875621
flora,4.875267
spree,4.873659
gaunt,4.873634
greet,4.873219
erect,4.872968
wager,4.872883
macro,4.872001
edict,4.871866
foist,4.871425
skirt,4.870751
fecal,4.870340
abode,4.867953
agree,4.866890
angst,4.866341
fable,4.865926
grasp,4.865878
today,4.865685
liver,4.865467
ralph,4.865325
brand,4.865288
stony,4.864655
south,4.864547
shave,4.863772
along,4.862434
scout,4.862410
amber,4.861624
dunce,4.860623
under,4.860278
tepid,4.860201
cagey,4.859438
scalp,4.858842
glint,4.858552
crawl,4.857327
carat,4.857268
stalk,4.855892
straw,4.855615
verso,4.853905
amble,4.851187
shout,4.851174
poesy,4.851009
surly,4.850228
aloud,4.849443
third,4.846993
chard,4.845118
tonga,4.844801
peace,4.844220
tiara,4.843459
beret,4.841985
cobra,4.841593
lunge,4.841107
piney,4.841057
scram,4.840446
noisy,4.840199
crier,4.839574
adobe,4.839507
honey,4.839492
unlit,4.838501
reply,4.838179
stove,4.838177
chide,4.837759
loose,4.837399
altar,4.837397
round,4.837188
tumor,4.837042
patsy,4.835735
randy,4.834884
fault,4.833720
gaily,4.833302
racer,4.833102
cloth,4.832680
crank,4.832247
piety,4.831073
drive,4.831047
weird,4.830789
moult,4.830653
rehab,4.830153
basin,4.829881
palsy,4.829794
covet,4.829478
maker,4.828504
deter,4.828401
purge,4.826170
sheer,4.825879
parer,4.825677
wrath,4.824615
eagle,4.823562
image,4.823458
burst,4.822774
saucy,4.822211
forge,4.821560
start,4.820836
cover,4.820650
tract,4.820289
erode,4.819862
liken,4.819648
perch,4.819240
chaos,4.819141
halve,4.818869
sheet,4.815856
truer,4.815673
guilt,4.815373
wheat,4.815340
lurid,4.814796
drove,4.814199
enter,4.813109
toast,4.812047
slurp,4.811700
grunt,4.810387
debit,4.810076
gleam,4.809303
overt,4.807920
grief,4.807465
lumen,4.806717
owner,4.806474
leafy,4.805725
voice,4.805342
robin,4.805121
felon,4.804387
clove,4.803800
olive,4.803758
blurt,4.803529
shrew,4.803241
chafe,4.802949
viral,4.802924
caput,4.802861
threw,4.802657
fruit,4.802364
graft,4.801540
screw,4.800175
baker,4.799370
cleft,4.798723
golem,4.798162
twirl,4.798009
amend,4.796868
prove,4.796773
clerk,4.794903
donut,4.794240
raspy,4.794061
rabid,4.793042
riser,4.792150
beach,4.792089
until,4.790850
while,4.790649
brunt,4.789470
corer,4.788962
niche,4.788737
clang,4.788351
preen,4.788225
fairy,4.786967
swirl,4.786912
dirty,4.785971
sandy,4.785799
unmet,4.785750
eager,4.785445
money,4.782531
spout,4.781842
thief,4.780797
decay,4.780393
media,4.780389
broke,4.777130
globe,4.776894
asset,4.776606
shunt,4.775298
built,4.775009
inlay,4.775008
break,4.774795
white,4.774364
knelt,4.774336
aunty,4.774181
pansy,4.772341
stank,4.772193
aorta,4.771832
infer,4.770808
broth,4.769856
yield,4.768894
sperm,4.768414
loamy,4.767836
whole,4.767289
gland,4.766568
cheap,4.765590
fresh,4.764893
mourn,4.764744
tubal,4.764582
biome,4.764164
leaky,4.763764
ester,4.763719
bilge,4.763597
wider,4.763115
taint,4.762869
burnt,4.762662
lousy,4.762637
brief,4.762606
power,4.761781
retro,4.761604
hinge,4.761239
nerdy,4.760947
deign,4.760342
pasty,4.760004
habit,4.759709
chime,4.759570
sound,4.759315
china,4.759237
surer,4.759188
stork,4.758859
foyer,4.758207
wince,4.757736
cabin,4.755961
exalt,4.755336
usher,4.755303
boney,4.753907
pinto,4.752391
relax,4.751602
poker,4.750322
warty,4.750189
slack,4.746895
panic,4.745657
rival,4.745086
sleep,4.743392
horny,4.743293
sling,4.742690
puree,4.742475
shark,4.741956
drawl,4.741537
novel,4.741269
ladle,4.740915
modal,4.740733
whose,4.740475
drank,4.740414
march,4.740305
croup,4.738059
heady,4.737805
mount,4.737566
flake,4.737238
meter,4.736504
adopt,4.735951
foray,4.735776
these,4.735201
final,4.734803
urban,4.734712
mercy,4.733909
guard,4.732374
hyena,4.731775
often,4.731368
mirth,4.731096
roost,4.729846
began,4.729008
genre,4.727940
decry,4.727803
dowel,4.726276
hasty,4.726088
flint,4.725811
fiery,4.725744
login,4.725607
glory,4.725421
rusty,4.725317
demur,4.725244
repel,4.725206
aptly,4.724543
drier,4.723389
scarf,4.722928
gavel,4.721835
prank,4.720738
creed,4.720687
cramp,4.720390
scold,4.720074
faith,4.719302
spend,4.719003
inane,4.718147
sworn,4.717254
spike,4.716984
guide,4.716934
wafer,4.716749
plume,4.716734
charm,4.716685
trick,4.716631
girth,4.715563
bland,4.714776
rebus,4.714380
niece,4.713048
tulip,4.712617
cloak,4.712424
dense,4.712036
crush,4.711163
troll,4.711045
shaft,4.710624
flyer,4.708485
elect,4.707809
vault,4.707099
elide,4.707019
grove,4.706420
crepe,4.705520
could,4.705061
spurn,4.704432
tangy,4.702847
curve,4.702417
scene,4.701715
azure,4.701183
graze,4.700972
ombre,4.700466
salvo,4.698714
noose,4.697967
gonad,4.697182
drift,4.696789
vital,4.695652
rearm,4.695621
leper,4.694848
dicey,4.694393
whine,4.692932
manly,4.691997
badge,4.691180
drawn,4.690616
haven,4.690324
green,4.689000
otter,4.688206
bacon,4.688029
allot,4.687466
sheen,4.687028
elfin,4.686029
about,4.685291
birth,4.683538
freak,4.683398
clank,4.683015
prism,4.680891
demon,4.680577
denim,4.680434
total,4.680070
gnome,4.679314
elder,4.678694
mower,4.677867
diver,4.676724
amity,4.676670
chord,4.676084
hover,4.675883
tunic,4.675047
froth,4.675020
flour,4.674214
tulle,4.673269
siege,4.673127
spoke,4.672847
curly,4.672339
proud,4.672024
spark,4.671744
hotly,4.671479
speak,4.670770
coven,4.670048
micro,4.669521
ethos,4.668326
blend,4.667319
ovine,4.665940
patch,4.665320
algae,4.664541
creep,4.663828
dwelt,4.662506
elope,4.662351
leery,4.660633
topic,4.660149
girly,4.659925
slink,4.659688
aware,4.659541
grind,4.659482
angry,4.659229
vicar,4.657661
gnash,4.657433
cloud,4.657330
stall,4.656081
slimy,4.655940
field,4.655832
shove,4.655538
fiber,4.653452
agate,4.653318
prawn,4.653050
binge,4.653035
torso,4.652909
shiny,4.652881
visor,4.652705
buyer,4.652072
manic,4.652058
tempo,4.651487
beady,4.651101
neigh,4.650539
flash,4.650084
voila,4.649917
wreak,4.649224
hardy,4.649033
incur,4.647996
touch,4.646620
rupee,4.646227
turbo,4.646174
creme,4.645656
impel,4.644169
fetid,4.643981
focal,4.643475
porch,4.643130
lapel,4.642202
ghost,4.641846
primo,4.641274
briny,4.639767
dopey,4.638758
wield,4.638348
bloke,4.638312
forth,4.637917
belie,4.637542
cavil,4.636185
apart,4.635809
egret,4.635743
locus,4.635089
swath,4.635043
bison,4.634069
cyber,4.633689
abate,4.632574
steed,4.632478
rebel,4.631754
graph,4.631324
tipsy,4.630584
betel,4.629534
sting,4.629378
cheer,4.628733
stack,4.628157
midst,4.627868
flesh,4.627016
churn,4.625615
alley,4.625145
stamp,4.624800
crypt,4.623530
ruler,4.622796
flout,4.622568
beset,4.622363
blunt,4.621204
vaunt,4.621038
smith,4.618877
harpy,4.618592
throb,4.618521
liege,4.618286
admit,4.617514
hovel,4.617311
fraud,4.615868
shawl,4.614945
right,4.614891
viper,4.614495
eight,4.614092
payee,4.613900
smoke,4.612155
prong,4.611433
piece,4.610881
vapor,4.610026
shelf,4.609072
lyric,4.608958
lurch,4.608029
trunk,4.606616
viola,4.605252
forty,4.604608
welsh,4.604575
genie,4.603934
candy,4.603580
mover,4.603442
lusty,4.603303
basic,4.602744
waver,4.602658
dread,4.602473
rhyme,4.602394
notch,4.602061
debut,4.602003
atoll,4.601470
paper,4.601310
ingot,4.598904
rebar,4.598561
abhor,4.598529
prize,4.598041
masse,4.597794
sheik,4.597725
widen,4.597696
crown,4.597367
swept,4.596370
fleet,4.595990
disco,4.595888
bleak,4.595725
waive,4.595581
gourd,4.595150
shady,4.594403
thank,4.593539
bugle,4.592816
worth,4.592762
steep,4.592425
linen,4.592268
leave,4.591125
audio,4.590284
brawl,4.589917
sprig,4.589022
abase,4.586121
dried,4.585595
snack,4.584798
maybe,4.584298
semen,4.583668
chirp,4.582471
bowel,4.582128
swarm,4.581816
glove,4.581743
shank,4.581742
agony,4.581239
hyper,4.580464
giver,4.580258
natal,4.579434
frond,4.579432
nomad,4.579185
trout,4.578858
decoy,4.578420
world,4.578057
glaze,4.577918
lingo,4.577224
match,4.576678
caulk,4.574864
fetus,4.570836
rider,4.570799
chief,4.570626
plank,4.570232
befit,4.568489
spiny,4.568437
knead,4.567323
unity,4.566550
clamp,4.566472
bulge,4.565755
tawny,4.565699
titan,4.565548
psalm,4.564247
depth,4.564203
sewer,4.563469
rodeo,4.563133
evict,4.562798
serve,4.562329
slick,4.561317
month,4.561023
fiend,4.560450
choke,4.559816
laugh,4.558988
anvil,4.558962
cling,4.557275
extra,4.555006
stink,4.554565
bused,4.553113
thyme,4.551927
sight,4.551738
child,4.551482
devil,4.549764
being,4.549306
stilt,4.549296
maize,4.549220
chasm,4.549176
movie,4.548899
sumac,4.548881
synod,4.548810
tacit,4.548632
verse,4.547367
ardor,4.546852
lefty,4.545565
exact,4.545151
suing,4.544697
shirk,4.544041
canal,4.543635
hazel,4.543329
crass,4.543108
gazer,4.542959
label,4.541009
begin,4.540639
epoch,4.540427
bicep,4.539171
rough,4.539062
taunt,4.538210
utter,4.537052
sword,4.536149
rerun,4.536059
ethic,4.536013
ether,4.535012
awoke,4.533701
sweet,4.533590
mauve,4.533280
vista,4.532667
riper,4.532041
slung,4.530837
rural,4.530656
ensue,4.530394
quiet,4.530255
vocal,4.529568
brawn,4.528770
pence,4.528575
order,4.528343
batch,4.528256
prowl,4.528055
belch,4.527569
trust,4.527109
blond,4.526501
heath,4.526040
blaze,4.525793
derby,4.525269
gusto,4.523491
gamut,4.522877
savoy,4.521474
humor,4.521240
logic,4.520838
afoul,4.520531
exist,4.520500
yacht,4.520263
sleek,4.520094
women,4.518558
crimp,4.518158
drink,4.517453
pouty,4.517163
snaky,4.516533
shift,4.516518
inner,4.516139
group,4.515708
nasal,4.515589
feign,4.515489
datum,4.514206
quart,4.512855
duvet,4.512755
moose,4.510603
midge,4.509742
greed,4.509155
cress,4.508010
retry,4.507892
truck,4.506973
whirl,4.506403
spank,4.505703
throw,4.504650
frank,4.503111
vegan,4.502511
doing,4.501819
roger,4.501663
elude,4.501211
nudge,4.500564
above,4.496908
tithe,4.496636
thong,4.496423
briar,4.495729
hence,4.495474
ratty,4.495420
salad,4.493847
vague,4.492782
ebony,4.492723
goose,4.489707
brush,4.489113
blind,4.488482
color,4.487861
drown,4.486546
trump,4.484989
guild,4.484307
ovary,4.483580
valid,4.483480
plush,4.483419
bigot,4.482896
flume,4.482784
lucid,4.482748
sigma,4.482556
apple,4.482178
joist,4.481521
stool,4.481468
madly,4.480972
spicy,4.478961
syrup,4.478133
tutor,4.478010
apnea,4.477505
omega,4.477375
femur,4.477199
theta,4.477097
quite,4.476643
mouth,4.476206
mango,4.476041
cello,4.475593
still,4.475417
segue,4.475297
aping,4.475277
light,4.474976
medic,4.474786
posse,4.474139
sever,4.473219
deuce,4.470053
bravo,4.470010
minty,4.469770
legal,4.468396
tough,4.466274
breed,4.465891
shall,4.465476
prior,4.465327
lasso,4.464506
tweak,4.463913
alarm,4.463880
birch,4.462209
clink,4.461080
lanky,4.460417
pound,4.460324
video,4.460157
quote,4.459441
armor,4.459426
bench,4.458738
thrum,4.457148
hound,4.457061
sauna,4.456756
input,4.456490
scrum,4.456310
chalk,4.454940
badly,4.454586
slunk,4.454189
octet,4.453775
stint,4.451585
optic,4.450855
admin,4.450677
bring,4.449788
shell,4.449690
handy,4.447880
shrug,4.447684
totem,4.447514
youth,4.447188
purer,4.446227
growl,4.446052
clown,4.444547
eying,4.444374
thing,4.444319
gorge,4.443314
merge,4.442914
ditch,4.442593
polka,4.441122
spawn,4.441056
doubt,4.441032
pitch,4.439593
blank,4.438307
creek,4.436566
carry,4.434178
scamp,4.433135
renew,4.433069
knave,4.432629
scowl,4.432443
stick,4.432008
stock,4.431718
crowd,4.431688
zonal,4.431220
brisk,4.429290
favor,4.428823
sorry,4.427562
stomp,4.427358
build,4.427342
droll,4.425595
fetch,4.424442
ghoul,4.423641
lunch,4.423314
among,4.422539
drool,4.422517
covey,4.421333
etude,4.420477
morph,4.419984
bonus,4.419937
burly,4.419904
smirk,4.417879
class,4.417057
filth,4.416980
perky,4.416674
given,4.415616
leech,4.414768
rally,4.414241
local,4.412834
stung,4.412788
sheep,4.412394
diode,4.412349
below,4.411666
sally,4.411473
arbor,4.410166
tying,4.409884
drill,4.408681
welch,4.408600
heavy,4.408548
tally,4.407830
piper,4.407549
cache,4.404528
joint,4.404332
watch,4.404138
troop,4.403339
revel,4.400911
recur,4.400565
bribe,4.400522
strut,4.400175
silky,4.399554
dress,4.399024
sieve,4.398536
minus,4.398193
friar,4.398144
prick,4.396551
obese,4.393574
flask,4.392220
tenth,4.391832
lofty,4.391302
harsh,4.390537
twang,4.388568
shack,4.387969
wagon,4.387898
slash,4.387687
newly,4.386458
grimy,4.385249
press,4.384853
cumin,4.384053
fancy,4.383592
human,4.382342
ruder,4.382200
theme,4.380818
mound,4.380259
pixel,4.379306
phony,4.378984
nobly,4.378933
think,4.378425
spell,4.376782
extol,4.375275
brink,4.373103
circa,4.373070
speed,4.372779
pivot,4.372184
canon,4.370060
lever,4.368247
macho,4.368219
woman,4.366493
aroma,4.366161
quest,4.366143
tacky,4.365148
reedy,4.364323
study,4.363696
wrong,4.362661
freed,4.362464
dingo,4.359358
blush,4.359296
dusty,4.358410
grown,4.357975
pinch,4.357496
libel,4.357392
risky,4.356975
wooer,4.356679
shaky,4.354230
shrub,4.353761
nerve,4.352116
lorry,4.351514
botch,4.350905
godly,4.350801
scrub,4.350170
adage,4.349542
newer,4.349228
donor,4.349010
stunk,4.348426
hymen,4.348412
wrack,4.348392
shoot,4.347839
knife,4.346939
vigor,4.346825
vowel,4.345838
ledge,4.345832
clung,4.345221
lying,4.345061
tryst,4.343964
motif,4.343371
squat,4.343010
bleed,4.342688
magic,4.342386
slump,4.342084
cross,4.341563
gravy,4.339674
jaunt,4.338740
froze,4.338419
virus,4.337627
sooth,4.336533
bound,4.334830
shown,4.333979
juice,4.333840
fluke,4.333161
night,4.333131
tenet,4.333064
pouch,4.331682
avoid,4.331646
tasty,4.331529
boxer,4.329648
flank,4.328443
frisk,4.328415
vogue,4.327966
ahead,4.326575
motor,4.326452
brown,4.326221
grass,4.325671
hydro,4.325483
gauze,4.325403
balmy,4.325144
begun,4.324336
dozen,4.324203
hello,4.324190
where,4.323698
wring,4.323412
testy,4.323199
mogul,4.322941
small,4.322113
swami,4.321821
exult,4.321769
seven,4.321746
truss,4.321563
kneel,4.321400
imbue,4.320315
beget,4.319660
toxin,4.316928
woken,4.316437
drunk,4.316425
snowy,4.316280
heave,4.316073
speck,4.314964
honor,4.314925
mocha,4.314642
seedy,4.313909
stout,4.313711
scuba,4.313246
black,4.311961
smell,4.311849
unfit,4.310675
fence,4.310332
sooty,4.309652
vomit,4.309302
pasta,4.308858
loyal,4.307743
dryer,4.306880
crazy,4.306782
crump,4.305219
zebra,4.304841
aphid,4.304669
bayou,4.304050
grill,4.303920
rower,4.303605
alloy,4.303195
axion,4.301698
smack,4.300897
parry,4.300831
venom,4.300340
enema,4.300167
amply,4.299304
would,4.298310
major,4.297596
mangy,4.296968
agape,4.296270
weigh,4.294756
wreck,4.294024
dimly,4.293466
gaudy,4.292109
ivory,4.290862
pithy,4.289260
eerie,4.289239
askew,4.289132
gauge,4.288959
foamy,4.288046
musty,4.286938
defer,4.286891
equal,4.285580
music,4.283473
moldy,4.283336
bleep,4.281581
gusty,4.281243
album,4.280688
lilac,4.280282
brass,4.280279
unfed,4.278715
elbow,4.277437
banal,4.276473
colon,4.276449
robot,4.276405
budge,4.272064
radii,4.270519
never,4.269670
brick,4.268876
hefty,4.265645
woven,4.265606
basal,4.264500
cough,4.263558
detox,4.263520
harry,4.262983
wordy,4.262811
await,4.262253
forum,4.261304
dowry,4.261298
seize,4.261091
rumba,4.261032
whelp,4.259465
fluid,4.258951
joust,4.258190
endow,4.258099
dutch,4.255485
ought,4.252416
stash,4.252172
flush,4.251810
rigor,4.250603
revue,4.250288
bible,4.249922
catty,4.249361
swift,4.249085
fella,4.248605
quail,4.247316
rocky,4.246985
cacti,4.246665
champ,4.242221
quilt,4.239919
borax,4.238821
fatal,4.238774
arrow,4.238387
helix,4.238103
unwed,4.237476
sloop,4.237268
climb,4.236456
truth,4.235601
dogma,4.234019
frown,4.233757
aglow,4.233731
butte,4.233055
stunt,4.232824
found,4.231874
